"Latest: Time (s)","Latest: Force (N)","Latest: Force 4 (N)","Latest: Force 2 (N)","Latest: Force 3 (N)","Latest: Total Force (N)"
2962,714.29,406.59,282.05,338.22,1741.15
2964,713.06,405.37,282.05,338.22,1738.7
2966,711.84,406.59,282.05,338.22,1738.7
2968,713.06,406.59,282.05,339.44,1741.14
2970,711.84,406.59,283.27,338.22,1739.92
2972,711.84,406.59,283.27,339.44,1741.14
2974,711.84,406.59,283.27,338.22,1739.92
2976,711.84,406.59,282.05,339.44,1739.92
2978,711.84,407.81,283.27,338.22,1741.14
2980,711.84,406.59,283.27,339.44,1741.14
2982,713.06,406.59,283.27,339.44,1742.36
2984,711.84,406.59,283.27,339.44,1741.14
2986,713.06,406.59,283.27,339.44,1742.36
2988,713.06,406.59,283.27,339.44,1742.36
2990,711.84,406.59,283.27,338.22,1739.92
2992,713.06,406.59,283.27,338.22,1741.14
2994,711.84,406.59,283.27,338.22,1739.92
2996,713.06,406.59,282.05,338.22,1739.92
2998,713.06,406.59,283.27,339.44,1742.36
3000,713.06,406.59,282.05,339.44,1741.14
3002,713.06,405.37,282.05,339.44,1739.92
3004,711.84,406.59,282.05,339.44,1739.92
3006,711.84,406.59,282.05,338.22,1738.7
3008,711.84,406.59,282.05,339.44,1739.92
3010,711.84,406.59,282.05,339.44,1739.92
3012,713.06,406.59,282.05,338.22,1739.92
3014,713.06,406.59,282.05,339.44,1741.14
3016,713.06,405.37,282.05,339.44,1739.92
3018,711.84,406.59,283.27,338.22,1739.92
3020,711.84,406.59,283.27,339.44,1741.14
3022,711.84,406.59,283.27,338.22,1739.92
3024,713.06,406.59,283.27,339.44,1742.36
3026,713.06,406.59,282.05,339.44,1741.14
3028,713.06,406.59,282.05,338.22,1739.92
3030,713.06,405.37,282.05,338.22,1738.7
3032,713.06,405.37,282.05,338.22,1738.7
3034,713.06,406.59,282.05,338.22,1739.92
3036,713.06,405.37,283.27,338.22,1739.92
3038,714.29,405.37,282.05,339.44,1741.15
3040,714.29,406.59,282.05,338.22,1741.15
3042,714.29,404.15,282.05,338.22,1738.71
3044,714.29,405.37,282.05,339.44,1741.15
3046,713.06,406.59,283.27,339.44,1742.36
3048,714.29,405.37,282.05,338.22,1739.93
3050,715.51,404.15,282.05,339.44,1741.15
3052,715.51,404.15,282.05,338.22,1739.93
3054,715.51,404.15,282.05,339.44,1741.15
3056,715.51,404.15,283.27,339.44,1742.37
3058,715.51,404.15,282.05,338.22,1739.93
3060,714.29,404.15,282.05,339.44,1739.93
3062,714.29,404.15,282.05,339.44,1739.93
3064,713.06,405.37,283.27,338.22,1739.92
3066,713.06,405.37,282.05,339.44,1739.92
3068,713.06,405.37,282.05,339.44,1739.92
3070,714.29,404.15,282.05,339.44,1739.93
3072,714.29,405.37,283.27,338.22,1741.15
3074,714.29,405.37,283.27,338.22,1741.15
3076,714.29,405.37,282.05,338.22,1739.93
3078,714.29,404.15,282.05,338.22,1738.71
3080,714.29,405.37,283.27,338.22,1741.15
3082,714.29,404.15,282.05,338.22,1738.71
3084,713.06,406.59,283.27,338.22,1741.14
3086,714.29,405.37,283.27,338.22,1741.15
3088,714.29,404.15,282.05,338.22,1738.71
3090,714.29,404.15,283.27,339.44,1741.15
3092,715.51,404.15,282.05,338.22,1739.93
3094,714.29,406.59,283.27,338.22,1742.37
3096,713.06,405.37,283.27,338.22,1739.92
3098,711.84,405.37,283.27,337,1737.48
3100,713.06,405.37,283.27,338.22,1739.92
3102,711.84,407.81,283.27,337,1739.92
3104,713.06,406.59,283.27,337,1739.92
3106,713.06,406.59,283.27,337,1739.92
3108,713.06,406.59,283.27,337,1739.92
3110,713.06,406.59,283.27,338.22,1741.14
3112,714.29,406.59,284.49,337,1742.37
3114,714.29,406.59,283.27,338.22,1742.37
3116,713.06,406.59,283.27,337,1739.92
3118,713.06,406.59,283.27,337,1739.92
3120,711.84,405.37,283.27,337,1737.48
3122,711.84,406.59,283.27,337,1738.7
3124,711.84,406.59,283.27,338.22,1739.92
3126,711.84,406.59,282.05,337,1737.48
3128,713.06,406.59,283.27,338.22,1741.14
3130,713.06,406.59,283.27,337,1739.92
3132,713.06,406.59,283.27,337,1739.92
3134,711.84,406.59,283.27,338.22,1739.92
3136,711.84,406.59,284.49,338.22,1741.14
3138,713.06,406.59,283.27,338.22,1741.14
3140,713.06,406.59,283.27,337,1739.92
3142,713.06,406.59,283.27,337,1739.92
3144,711.84,406.59,283.27,338.22,1739.92
3146,713.06,407.81,283.27,338.22,1742.36
3148,711.84,409.04,283.27,337,1741.15
3150,710.62,407.81,283.27,337,1738.7
3152,711.84,407.81,283.27,337,1739.92
3154,711.84,407.81,283.27,338.22,1741.14
3156,710.62,407.81,283.27,338.22,1739.92
3158,713.06,407.81,283.27,338.22,1742.36
3160,711.84,407.81,283.27,337,1739.92
3162,710.62,407.81,283.27,337,1738.7
3164,711.84,407.81,283.27,337,1739.92
3166,711.84,407.81,283.27,338.22,1741.14
3168,711.84,406.59,282.05,338.22,1738.7
3170,711.84,407.81,283.27,338.22,1741.14
3172,711.84,406.59,283.27,338.22,1739.92
3174,711.84,407.81,283.27,338.22,1741.14
3176,711.84,407.81,282.05,337,1738.7
3178,711.84,407.81,283.27,338.22,1741.14
3180,711.84,406.59,283.27,338.22,1739.92
3182,713.06,407.81,283.27,337,1741.14
3184,711.84,406.59,283.27,338.22,1739.92
3186,711.84,409.04,283.27,338.22,1742.37
3188,711.84,407.81,283.27,338.22,1741.14
3190,713.06,406.59,283.27,338.22,1741.14
3192,713.06,406.59,282.05,338.22,1739.92
3194,713.06,406.59,282.05,338.22,1739.92
3196,711.84,406.59,283.27,338.22,1739.92
3198,713.06,407.81,283.27,338.22,1742.36
3200,713.06,406.59,283.27,338.22,1741.14
3202,713.06,406.59,283.27,337,1739.92
3204,713.06,407.81,282.05,338.22,1741.14
3206,711.84,406.59,282.05,337,1737.48
3208,711.84,406.59,283.27,338.22,1739.92
3210,713.06,406.59,283.27,337,1739.92
3212,711.84,406.59,283.27,337,1738.7
3214,711.84,406.59,283.27,338.22,1739.92
3216,711.84,406.59,283.27,337,1738.7
3218,711.84,406.59,282.05,337,1737.48
3220,713.06,406.59,283.27,337,1739.92
3222,713.06,406.59,282.05,337,1738.7
3224,711.84,406.59,283.27,337,1738.7
3226,711.84,406.59,282.05,338.22,1738.7
3228,711.84,406.59,282.05,338.22,1738.7
3230,711.84,406.59,283.27,337,1738.7
3232,711.84,406.59,282.05,338.22,1738.7
3234,711.84,406.59,282.05,338.22,1738.7
3236,711.84,406.59,282.05,338.22,1738.7
3238,713.06,407.81,282.05,338.22,1741.14
3240,711.84,407.81,282.05,338.22,1739.92
3242,711.84,407.81,283.27,337,1739.92
3244,713.06,406.59,282.05,338.22,1739.92
3246,711.84,407.81,282.05,338.22,1739.92
3248,711.84,407.81,283.27,337,1739.92
3250,711.84,407.81,282.05,337,1738.7
3252,710.62,407.81,283.27,337,1738.7
3254,713.06,406.59,282.05,337,1738.7
3256,711.84,406.59,282.05,338.22,1738.7
3258,711.84,406.59,282.05,337,1737.48
3260,710.62,407.81,283.27,337,1738.7
3262,710.62,407.81,282.05,337,1737.48
3264,713.06,407.81,282.05,338.22,1741.14
3266,713.06,406.59,283.27,337,1739.92
3268,713.06,406.59,282.05,337,1738.7
3270,713.06,405.37,282.05,337,1737.48
3272,713.06,405.37,282.05,338.22,1738.7
3274,713.06,406.59,283.27,337,1739.92
3276,714.29,404.15,280.83,338.22,1737.49
3278,713.06,406.59,282.05,338.22,1739.92
3280,711.84,406.59,282.05,338.22,1738.7
3282,713.06,407.81,283.27,338.22,1742.36
3284,711.84,406.59,282.05,338.22,1738.7
3286,713.06,406.59,282.05,338.22,1739.92
3288,713.06,405.37,282.05,338.22,1738.7
3290,714.29,405.37,283.27,338.22,1741.15
3292,711.84,406.59,283.27,338.22,1739.92
3294,711.84,406.59,283.27,337,1738.7
3296,711.84,406.59,283.27,338.22,1739.92
3298,711.84,405.37,282.05,337,1736.26
3300,713.06,406.59,282.05,337,1738.7
3302,713.06,406.59,283.27,338.22,1741.14
3304,713.06,406.59,282.05,339.44,1741.14
3306,715.51,404.15,282.05,339.44,1741.15
3308,714.29,405.37,282.05,335.78,1737.49
3310,711.84,407.81,283.27,338.22,1741.14
3312,711.84,407.81,283.27,337,1739.92
3314,711.84,406.59,282.05,339.44,1739.92
3316,713.06,406.59,283.27,337,1739.92
3318,713.06,406.59,283.27,338.22,1741.14
3320,713.06,406.59,283.27,337,1739.92
3322,711.84,407.81,283.27,337,1739.92
3324,711.84,406.59,282.05,338.22,1738.7
3326,710.62,407.81,283.27,338.22,1739.92
3328,711.84,407.81,283.27,337,1739.92
3330,710.62,407.81,283.27,337,1738.7
3332,710.62,407.81,283.27,337,1738.7
3334,711.84,407.81,283.27,338.22,1741.14
3336,710.62,409.04,283.27,337,1739.93
3338,710.62,407.81,283.27,337,1738.7
3340,711.84,407.81,282.05,335.78,1737.48
3342,710.62,407.81,283.27,337,1738.7
3344,711.84,407.81,283.27,337,1739.92
3346,711.84,407.81,283.27,337,1739.92
3348,710.62,409.04,283.27,338.22,1741.15
3350,711.84,407.81,283.27,337,1739.92
3352,711.84,409.04,283.27,338.22,1742.37
3354,710.62,407.81,283.27,337,1738.7
3356,711.84,409.04,283.27,337,1741.15
3358,711.84,409.04,283.27,337,1741.15
3360,710.62,407.81,283.27,337,1738.7
3362,711.84,407.81,283.27,337,1739.92
3364,713.06,407.81,283.27,338.22,1742.36
3366,711.84,406.59,283.27,337,1738.7
3368,710.62,407.81,282.05,337,1737.48
3370,711.84,406.59,283.27,337,1738.7
3372,711.84,406.59,283.27,337,1738.7
3374,711.84,406.59,283.27,337,1738.7
3376,711.84,407.81,283.27,337,1739.92
3378,713.06,406.59,283.27,337,1739.92
3380,711.84,406.59,283.27,337,1738.7
3382,711.84,407.81,283.27,337,1739.92
3384,713.06,406.59,283.27,337,1739.92
3386,711.84,406.59,282.05,337,1737.48
3388,711.84,407.81,283.27,337,1739.92
3390,713.06,406.59,282.05,338.22,1739.92
3392,713.06,406.59,282.05,338.22,1739.92
3394,713.06,406.59,283.27,335.78,1738.7
3396,713.06,406.59,283.27,337,1739.92
3398,711.84,406.59,283.27,338.22,1739.92
3400,711.84,406.59,283.27,337,1738.7
3402,711.84,406.59,282.05,337,1737.48
3404,711.84,407.81,282.05,338.22,1739.92
3406,711.84,406.59,283.27,338.22,1739.92
3408,711.84,407.81,284.49,337,1741.14
3410,711.84,406.59,284.49,337,1739.92
3412,711.84,407.81,283.27,337,1739.92
3414,711.84,406.59,283.27,337,1738.7
3416,711.84,407.81,283.27,337,1739.92
3418,711.84,406.59,283.27,337,1738.7
3420,713.06,406.59,282.05,337,1738.7
3422,711.84,406.59,283.27,337,1738.7
3424,711.84,406.59,283.27,337,1738.7
3426,711.84,407.81,283.27,337,1739.92
3428,711.84,407.81,283.27,337,1739.92
3430,711.84,406.59,283.27,338.22,1739.92
3432,711.84,406.59,283.27,337,1738.7
3434,713.06,406.59,284.49,337,1741.14
3436,711.84,406.59,283.27,337,1738.7
3438,711.84,407.81,284.49,335.78,1739.92
3440,711.84,406.59,284.49,335.78,1738.7
3442,711.84,406.59,282.05,335.78,1736.26
3444,711.84,407.81,283.27,335.78,1738.7
3446,711.84,407.81,283.27,335.78,1738.7
3448,711.84,407.81,283.27,335.78,1738.7
3450,711.84,406.59,284.49,337,1739.92
3452,710.62,409.04,284.49,335.78,1739.93
3454,710.62,409.04,283.27,338.22,1741.15
3456,710.62,409.04,283.27,337,1739.93
3458,709.4,409.04,282.05,337,1737.49
3460,711.84,409.04,283.27,337,1741.15
3462,710.62,407.81,284.49,338.22,1741.14
3464,710.62,409.04,283.27,337,1739.93
3466,711.84,407.81,283.27,337,1739.92
3468,711.84,409.04,283.27,337,1741.15
3470,710.62,409.04,283.27,337,1739.93
3472,711.84,409.04,283.27,337,1741.15
3474,710.62,407.81,284.49,337,1739.92
3476,710.62,407.81,283.27,337,1738.7
3478,711.84,407.81,283.27,338.22,1741.14
3480,711.84,407.81,283.27,337,1739.92
3482,710.62,407.81,284.49,337,1739.92
3484,711.84,407.81,283.27,337,1739.92
3486,710.62,409.04,284.49,337,1741.15
3488,710.62,407.81,282.05,337,1737.48
3490,711.84,406.59,282.05,338.22,1738.7
3492,713.06,406.59,282.05,338.22,1739.92
3494,714.29,406.59,283.27,337,1741.15
3496,713.06,406.59,282.05,338.22,1739.92
3498,713.06,406.59,282.05,338.22,1739.92
3500,713.06,406.59,282.05,338.22,1739.92
3502,713.06,406.59,282.05,338.22,1739.92
3504,713.06,406.59,283.27,338.22,1741.14
3506,713.06,405.37,282.05,338.22,1738.7
3508,713.06,406.59,283.27,338.22,1741.14
3510,713.06,406.59,282.05,339.44,1741.14
3512,711.84,406.59,282.05,338.22,1738.7
3514,714.29,405.37,282.05,338.22,1739.93
3516,713.06,406.59,282.05,338.22,1739.92
3518,713.06,405.37,282.05,338.22,1738.7
3520,713.06,405.37,282.05,338.22,1738.7
3522,714.29,406.59,280.83,338.22,1739.93
3524,714.29,406.59,282.05,338.22,1741.15
3526,713.06,405.37,282.05,338.22,1738.7
3528,714.29,405.37,282.05,338.22,1739.93
3530,711.84,407.81,282.05,338.22,1739.92
3532,713.06,406.59,283.27,339.44,1742.36
3534,710.62,409.04,282.05,337,1738.71
3536,711.84,407.81,283.27,337,1739.92
3538,711.84,406.59,282.05,338.22,1738.7
3540,711.84,406.59,282.05,337,1737.48
3542,711.84,406.59,282.05,338.22,1738.7
3544,711.84,407.81,282.05,337,1738.7
3546,711.84,406.59,283.27,338.22,1739.92
3548,711.84,407.81,283.27,338.22,1741.14
3550,713.06,406.59,283.27,337,1739.92
3552,713.06,406.59,282.05,337,1738.7
3554,713.06,405.37,282.05,338.22,1738.7
3556,711.84,406.59,283.27,338.22,1739.92
3558,713.06,406.59,282.05,338.22,1739.92
3560,713.06,406.59,283.27,338.22,1741.14
3562,711.84,407.81,283.27,337,1739.92
3564,710.62,407.81,283.27,337,1738.7
3566,711.84,407.81,283.27,337,1739.92
3568,711.84,407.81,283.27,337,1739.92
3570,711.84,406.59,283.27,339.44,1741.14
3572,711.84,409.04,283.27,337,1741.15
3574,711.84,407.81,283.27,337,1739.92
3576,711.84,406.59,283.27,337,1738.7
3578,711.84,407.81,283.27,337,1739.92
3580,711.84,406.59,283.27,337,1738.7
3582,711.84,406.59,284.49,337,1739.92
3584,711.84,407.81,282.05,338.22,1739.92
3586,711.84,407.81,283.27,337,1739.92
3588,711.84,407.81,282.05,337,1738.7
3590,711.84,407.81,283.27,338.22,1741.14
3592,710.62,407.81,283.27,338.22,1739.92
3594,711.84,409.04,283.27,337,1741.15
3596,711.84,407.81,283.27,338.22,1741.14
3598,711.84,407.81,283.27,337,1739.92
3600,711.84,407.81,283.27,337,1739.92
3602,711.84,407.81,283.27,337,1739.92
3604,711.84,409.04,284.49,335.78,1741.15
3606,711.84,407.81,283.27,338.22,1741.14
3608,711.84,407.81,283.27,337,1739.92
3610,711.84,407.81,283.27,338.22,1741.14
3612,711.84,407.81,283.27,337,1739.92
3614,711.84,407.81,283.27,338.22,1741.14
3616,713.06,407.81,283.27,337,1741.14
3618,713.06,406.59,283.27,337,1739.92
3620,711.84,406.59,284.49,338.22,1741.14
3622,713.06,406.59,283.27,338.22,1741.14
3624,711.84,406.59,283.27,337,1738.7
3626,711.84,407.81,283.27,338.22,1741.14
3628,711.84,407.81,283.27,338.22,1741.14
3630,711.84,406.59,283.27,337,1738.7
3632,711.84,407.81,283.27,338.22,1741.14
3634,711.84,406.59,283.27,337,1738.7
3636,711.84,406.59,284.49,337,1739.92
3638,711.84,407.81,283.27,337,1739.92
3640,711.84,407.81,284.49,337,1741.14
3642,711.84,407.81,284.49,337,1741.14
3644,713.06,407.81,282.05,338.22,1741.14
3646,713.06,406.59,283.27,338.22,1741.14
3648,713.06,406.59,283.27,338.22,1741.14
3650,711.84,406.59,283.27,338.22,1739.92
3652,711.84,406.59,283.27,338.22,1739.92
3654,711.84,407.81,283.27,339.44,1742.36
3656,713.06,407.81,282.05,338.22,1741.14
3658,714.29,405.37,283.27,339.44,1742.37
3660,714.29,406.59,282.05,338.22,1741.15
3662,714.29,405.37,283.27,338.22,1741.15
3664,713.06,406.59,283.27,338.22,1741.14
3666,713.06,406.59,282.05,338.22,1739.92
3668,714.29,405.37,282.05,337,1738.71
3670,713.06,405.37,283.27,338.22,1739.92
3672,713.06,405.37,283.27,338.22,1739.92
3674,713.06,404.15,283.27,338.22,1738.7
3676,713.06,405.37,283.27,338.22,1739.92
3678,713.06,406.59,282.05,338.22,1739.92
3680,713.06,406.59,282.05,337,1738.7
3682,714.29,405.37,282.05,338.22,1739.93
3684,713.06,406.59,282.05,338.22,1739.92
3686,714.29,406.59,282.05,337,1739.93
3688,714.29,406.59,283.27,338.22,1742.37
3690,713.06,405.37,282.05,338.22,1738.7
3692,713.06,405.37,283.27,338.22,1739.92
3694,711.84,406.59,283.27,337,1738.7
3696,711.84,406.59,282.05,337,1737.48
3698,713.06,406.59,282.05,337,1738.7
3700,711.84,406.59,282.05,338.22,1738.7
3702,713.06,406.59,283.27,337,1739.92
3704,713.06,406.59,283.27,338.22,1741.14
3706,711.84,407.81,283.27,338.22,1741.14
3708,711.84,406.59,282.05,338.22,1738.7
3710,713.06,405.37,282.05,337,1737.48
3712,713.06,405.37,282.05,338.22,1738.7
3714,711.84,406.59,282.05,338.22,1738.7
3716,711.84,406.59,282.05,337,1737.48
3718,713.06,406.59,283.27,338.22,1741.14
3720,713.06,406.59,282.05,338.22,1739.92
3722,711.84,406.59,282.05,338.22,1738.7
3724,711.84,406.59,282.05,337,1737.48
3726,713.06,406.59,282.05,338.22,1739.92
3728,713.06,406.59,283.27,337,1739.92
3730,713.06,406.59,283.27,337,1739.92
3732,714.29,406.59,282.05,338.22,1741.15
3734,713.06,406.59,283.27,337,1739.92
3736,711.84,406.59,282.05,338.22,1738.7
3738,713.06,406.59,283.27,338.22,1741.14
3740,713.06,406.59,283.27,338.22,1741.14
3742,713.06,406.59,283.27,337,1739.92
3744,714.29,406.59,282.05,338.22,1741.15
3746,713.06,406.59,283.27,338.22,1741.14
3748,713.06,406.59,283.27,338.22,1741.14
3750,713.06,406.59,283.27,338.22,1741.14
3752,713.06,406.59,283.27,338.22,1741.14
3754,713.06,406.59,283.27,338.22,1741.14
3756,713.06,405.37,283.27,337,1738.7
3758,713.06,406.59,282.05,338.22,1739.92
3760,711.84,406.59,283.27,338.22,1739.92
3762,713.06,406.59,282.05,338.22,1739.92
3764,711.84,406.59,282.05,339.44,1739.92
3766,714.29,405.37,283.27,338.22,1741.15
3768,713.06,406.59,282.05,338.22,1739.92
3770,713.06,406.59,282.05,338.22,1739.92
3772,711.84,406.59,283.27,338.22,1739.92
3774,713.06,405.37,282.05,338.22,1738.7
3776,713.06,406.59,283.27,338.22,1741.14
3778,711.84,406.59,283.27,338.22,1739.92
3780,713.06,405.37,283.27,337,1738.7
3782,711.84,406.59,283.27,338.22,1739.92
3784,713.06,406.59,283.27,337,1739.92
3786,713.06,406.59,282.05,337,1738.7
3788,713.06,406.59,282.05,337,1738.7
3790,713.06,405.37,283.27,338.22,1739.92
3792,713.06,406.59,283.27,338.22,1741.14
3794,713.06,406.59,283.27,338.22,1741.14
3796,714.29,406.59,282.05,338.22,1741.15
3798,713.06,405.37,283.27,338.22,1739.92
3800,713.06,406.59,283.27,337,1739.92
3802,713.06,405.37,282.05,338.22,1738.7
3804,714.29,404.15,282.05,338.22,1738.71
3806,713.06,405.37,282.05,337,1737.48
3808,714.29,406.59,282.05,338.22,1741.15
3810,713.06,405.37,283.27,337,1738.7
3812,713.06,406.59,282.05,338.22,1739.92
3814,713.06,406.59,283.27,338.22,1741.14
3816,711.84,406.59,282.05,338.22,1738.7
3818,713.06,405.37,282.05,338.22,1738.7
3820,713.06,405.37,283.27,337,1738.7
3822,714.29,406.59,282.05,338.22,1741.15
3824,713.06,406.59,283.27,338.22,1741.14
3826,714.29,405.37,282.05,338.22,1739.93
3828,713.06,406.59,283.27,338.22,1741.14
3830,714.29,406.59,283.27,338.22,1742.37
3832,714.29,404.15,282.05,338.22,1738.71
3834,714.29,405.37,282.05,338.22,1739.93
3836,714.29,404.15,282.05,339.44,1739.93
3838,714.29,405.37,282.05,338.22,1739.93
3840,713.06,404.15,282.05,338.22,1737.48
3842,714.29,404.15,283.27,338.22,1739.93
3844,714.29,404.15,283.27,338.22,1739.93
3846,713.06,405.37,282.05,338.22,1738.7
3848,713.06,406.59,283.27,339.44,1742.36
3850,713.06,405.37,283.27,338.22,1739.92
3852,713.06,406.59,283.27,338.22,1741.14
3854,713.06,406.59,283.27,338.22,1741.14
3856,713.06,405.37,283.27,338.22,1739.92
3858,713.06,406.59,283.27,338.22,1741.14
3860,713.06,405.37,282.05,338.22,1738.7
3862,713.06,406.59,282.05,337,1738.7
3864,713.06,405.37,283.27,338.22,1739.92
3866,713.06,405.37,283.27,338.22,1739.92
3868,713.06,405.37,283.27,338.22,1739.92
3870,713.06,406.59,282.05,338.22,1739.92
3872,714.29,405.37,283.27,338.22,1741.15
3874,713.06,404.15,284.49,338.22,1739.92
3876,711.84,405.37,282.05,338.22,1737.48
3878,713.06,406.59,283.27,337,1739.92
3880,713.06,405.37,282.05,338.22,1738.7
3882,713.06,406.59,283.27,338.22,1741.14
3884,713.06,406.59,283.27,338.22,1741.14
3886,713.06,405.37,283.27,338.22,1739.92
3888,713.06,405.37,283.27,337,1738.7
3890,713.06,406.59,283.27,338.22,1741.14
3892,714.29,405.37,282.05,339.44,1741.15
3894,711.84,405.37,283.27,338.22,1738.7
3896,713.06,404.15,283.27,338.22,1738.7
3898,713.06,404.15,283.27,338.22,1738.7
3900,713.06,405.37,283.27,338.22,1739.92
3902,713.06,405.37,283.27,338.22,1739.92
3904,713.06,405.37,283.27,339.44,1741.14
3906,713.06,405.37,282.05,339.44,1739.92
3908,713.06,404.15,283.27,339.44,1739.92
3910,713.06,404.15,282.05,338.22,1737.48
3912,713.06,405.37,283.27,338.22,1739.92
3914,713.06,406.59,283.27,337,1739.92
3916,713.06,405.37,283.27,338.22,1739.92
3918,713.06,405.37,283.27,339.44,1741.14
3920,713.06,406.59,282.05,339.44,1741.14
3922,713.06,406.59,283.27,338.22,1741.14
3924,713.06,406.59,282.05,338.22,1739.92
3926,713.06,406.59,283.27,337,1739.92
3928,713.06,406.59,282.05,338.22,1739.92
3930,711.84,405.37,282.05,339.44,1738.7
3932,713.06,406.59,282.05,338.22,1739.92
3934,713.06,406.59,283.27,338.22,1741.14
3936,711.84,406.59,283.27,338.22,1739.92
3938,713.06,406.59,283.27,338.22,1741.14
3940,713.06,406.59,282.05,338.22,1739.92
3942,713.06,406.59,283.27,338.22,1741.14
3944,713.06,405.37,283.27,338.22,1739.92
3946,713.06,406.59,283.27,338.22,1741.14
3948,713.06,406.59,283.27,338.22,1741.14
3950,713.06,406.59,283.27,338.22,1741.14
3952,713.06,407.81,283.27,338.22,1742.36
3954,713.06,405.37,283.27,338.22,1739.92
3956,711.84,406.59,283.27,337,1738.7
3958,713.06,406.59,282.05,338.22,1739.92
3960,713.06,406.59,283.27,339.44,1742.36
3962,713.06,406.59,283.27,338.22,1741.14
3964,711.84,406.59,282.05,338.22,1738.7
3966,711.84,406.59,282.05,338.22,1738.7
3968,713.06,406.59,282.05,338.22,1739.92
3970,711.84,406.59,283.27,338.22,1739.92
3972,711.84,407.81,283.27,338.22,1741.14
3974,713.06,406.59,283.27,338.22,1741.14
3976,711.84,406.59,283.27,338.22,1739.92
3978,711.84,406.59,283.27,338.22,1739.92
3980,713.06,407.81,283.27,338.22,1742.36
3982,713.06,406.59,283.27,338.22,1741.14
3984,711.84,406.59,282.05,338.22,1738.7
3986,713.06,406.59,283.27,338.22,1741.14
3988,711.84,406.59,282.05,338.22,1738.7
3990,713.06,406.59,283.27,338.22,1741.14
3992,713.06,406.59,282.05,338.22,1739.92
3994,713.06,406.59,283.27,338.22,1741.14
3996,711.84,406.59,282.05,338.22,1738.7
3998,711.84,406.59,282.05,338.22,1738.7
4000,713.06,406.59,282.05,338.22,1739.92
4002,711.84,406.59,283.27,338.22,1739.92
4004,713.06,406.59,283.27,338.22,1741.14
4006,711.84,406.59,282.05,339.44,1739.92
4008,711.84,406.59,283.27,338.22,1739.92
4010,711.84,406.59,282.05,338.22,1738.7
4012,711.84,406.59,283.27,338.22,1739.92
4014,711.84,406.59,282.05,338.22,1738.7
4016,711.84,406.59,282.05,338.22,1738.7
4018,711.84,406.59,283.27,338.22,1739.92
4020,711.84,406.59,282.05,338.22,1738.7
4022,713.06,405.37,283.27,338.22,1739.92
4024,713.06,405.37,283.27,338.22,1739.92
4026,713.06,406.59,283.27,338.22,1741.14
4028,713.06,406.59,283.27,338.22,1741.14
4030,713.06,406.59,282.05,338.22,1739.92
4032,711.84,406.59,282.05,339.44,1739.92
4034,711.84,405.37,282.05,338.22,1737.48
4036,713.06,405.37,283.27,338.22,1739.92
4038,713.06,406.59,283.27,338.22,1741.14
4040,713.06,405.37,283.27,338.22,1739.92
4042,713.06,406.59,282.05,339.44,1741.14
4044,713.06,406.59,282.05,338.22,1739.92
4046,713.06,406.59,283.27,338.22,1741.14
4048,711.84,406.59,282.05,338.22,1738.7
4050,713.06,406.59,282.05,338.22,1739.92
4052,714.29,405.37,282.05,339.44,1741.15
4054,713.06,406.59,282.05,339.44,1741.14
4056,713.06,406.59,282.05,338.22,1739.92
4058,713.06,405.37,282.05,338.22,1738.7
4060,713.06,405.37,282.05,339.44,1739.92
4062,713.06,406.59,282.05,338.22,1739.92
4064,713.06,406.59,282.05,338.22,1739.92
4066,711.84,406.59,283.27,339.44,1741.14
4068,713.06,406.59,282.05,338.22,1739.92
4070,713.06,406.59,282.05,338.22,1739.92
4072,713.06,405.37,282.05,338.22,1738.7
4074,711.84,406.59,283.27,338.22,1739.92
4076,713.06,405.37,283.27,338.22,1739.92
4078,713.06,406.59,283.27,339.44,1742.36
4080,713.06,406.59,283.27,338.22,1741.14
4082,713.06,405.37,282.05,338.22,1738.7
4084,713.06,406.59,282.05,338.22,1739.92
4086,713.06,406.59,282.05,338.22,1739.92
4088,713.06,406.59,282.05,338.22,1739.92
4090,713.06,406.59,283.27,338.22,1741.14
4092,711.84,405.37,282.05,339.44,1738.7
4094,713.06,405.37,282.05,338.22,1738.7
4096,711.84,405.37,282.05,338.22,1737.48
4098,713.06,405.37,283.27,339.44,1741.14
4100,711.84,405.37,282.05,339.44,1738.7
4102,713.06,405.37,282.05,339.44,1739.92
4104,713.06,406.59,282.05,338.22,1739.92
4106,713.06,406.59,282.05,338.22,1739.92
4108,713.06,405.37,282.05,338.22,1738.7
4110,713.06,405.37,282.05,337,1737.48
4112,713.06,405.37,283.27,338.22,1739.92
4114,711.84,405.37,282.05,338.22,1737.48
4116,711.84,406.59,282.05,338.22,1738.7
4118,713.06,406.59,282.05,338.22,1739.92
4120,713.06,406.59,282.05,338.22,1739.92
4122,713.06,406.59,282.05,338.22,1739.92
4124,711.84,406.59,282.05,338.22,1738.7
4126,711.84,406.59,282.05,338.22,1738.7
4128,713.06,406.59,282.05,338.22,1739.92
4130,713.06,406.59,282.05,338.22,1739.92
4132,713.06,406.59,282.05,338.22,1739.92
4134,711.84,406.59,282.05,339.44,1739.92
4136,711.84,406.59,282.05,339.44,1739.92
4138,711.84,406.59,283.27,338.22,1739.92
4140,713.06,406.59,283.27,338.22,1741.14
4142,711.84,406.59,282.05,339.44,1739.92
4144,711.84,406.59,282.05,338.22,1738.7
4146,711.84,406.59,282.05,337,1737.48
4148,711.84,406.59,283.27,338.22,1739.92
